Column1,Time,,Column1,f1_c,,Column1,f1_a,,Column1,f1_s,,Column1,f1_d,,Column1,f2_c,,Column1,f2_a,,Column1,f2_s,,Column1,f2_d,,Column1,prg_c,,Column1,prg_a,,Column1,prg_s,,Column1,prg_d,,Column1,prd_c,,Column1,prd_a,,Column1,prd_s,,Column1,prd_d,,Column1,pr_s,,Column1,pr_d,,Column1,lq_s,,Column1,lq_d,,Column1,cmp_a_s,,Column1,cmp_a_d,,Column1,cmp_b_s,,Column1,cmp_b_d,,Column1,cmp_c_s,,Column1,cmp_c_d,,,,,,,,
,time,,f1_a,0.993161553,,f1_s,0.997474439,,f1_a,0.997474439,,f2_d,0.329793262,,f2_a,0.99883183,,f2_s,0.99995303,,f2_a,0.99995303,,f1_d,0.329793262,,prg_s,0.712098827,,prg_s,0.952200847,,prg_a,0.952200847,,pr_d,0.390030766,,prd_s,0.999107075,,prd_s,0.999951346,,prd_a,0.999951346,,lq_s,0.316559171,,lq_s,0.782990673,,prg_d,0.390030766,,cmp_a_s,0.965092045,,cmp_a_d,0.714099672,,lq_s,0.965092045,,lq_d,0.714099672,,f2_d,0.092267837,,cmp_c_d,0.311673062,,time,0.993050342,,cmp_b_d,0.311673062,,,,,,,,
time,,,f1_s,0.990578055,,f1_c,0.993161553,,f1_c,0.990578055,,lq_d,0.047454665,,f2_s,0.998801382,,f2_c,0.99883183,,f2_c,0.998801382,,pr_d,0.186333557,,prg_a,0.610499787,,prg_c,0.610499787,,prg_c,0.712098827,,prg_c,0.167744075,,prd_a,0.998764383,,prd_c,0.998764383,,prd_c,0.999107075,,cmp_a_s,0.30260097,,cmp_a_s,0.74678549,,cmp_a_d,0.305542756,,pr_s,0.782990673,,f2_c,0.301947037,,pr_s,0.74678549,,pr_d,0.305542756,,f1_d,0.035409378,,prd_a,0.217360785,,f2_c,0.016337368,,prd_a,0.139048131,,,,,,,,
cmp_c_s,0.993050342,,f2_c,0.879163614,,f2_a,0.879706989,,f2_a,0.871612299,,f1_c,0.045833332,,f1_c,0.879163614,,f1_a,0.879706989,,f1_a,0.879201966,,lq_d,0.149041258,,pr_s,0.418214046,,pr_s,0.363889743,,pr_s,0.398411447,,prg_s,0.134711566,,cmp_a_s,0.232870526,,cmp_b_d,0.217360785,,cmp_b_d,0.21666731,,pr_s,0.247597379,,f2_a,0.542656506,,lq_d,0.287966763,,prd_d,0.316559171,,f2_a,0.300015039,,prd_d,0.30260097,,f1_a,0.287262664,,cmp_c_d,0.02400852,,prd_s,0.21666731,,f2_s,0.015099424,,prd_s,0.138634971,,,,,,,,
cmp_a_s,0.056055609,,f2_a,0.877522782,,f2_s,0.879201966,,f2_s,0.871122906,,cmp_b_s,0.035409378,,f1_a,0.878780884,,f1_c,0.877522782,,f1_c,0.877079859,,cmp_b_s,0.092267837,,f2_a,0.275848429,,lq_s,0.287492478,,lq_s,0.304856099,,prg_a,0.089002402,,cmp_b_d,0.214504359,,cmp_a_s,0.186076854,,cmp_a_s,0.194689133,,cmp_a_d,0.147798911,,f2_s,0.542328601,,f2_d,0.186333557,,prg_s,0.304856099,,f2_s,0.299990956,,prg_s,0.237299905,,f1_s,0.286415149,,pr_d,0.021482963,,prd_c,0.214504359,,f2_a,0.01475596,,prd_c,0.137195393,,,,,,,,
lq_s,0.055392651,,f2_s,0.877079859,,f2_c,0.878780884,,f2_c,0.870606021,,cmp_c_d,0.031165278,,f1_s,0.870606021,,f1_s,0.871612299,,f1_s,0.871122906,,cmp_a_d,0.024700029,,lq_s,0.275723693,,f2_a,0.267420734,,f2_a,0.290806449,,pr_s,0.034802624,,cmp_c_d,0.137195393,,cmp_c_d,0.139048131,,cmp_c_d,0.138634971,,prg_s,0.098010616,,f2_c,0.50652027,,f1_a,0.10788181,,prg_a,0.287492478,,pr_d,0.287966763,,prd_c,0.232870526,,f1_c,0.282852832,,lq_d,0.011534954,,f1_d,0.020808625,,cmp_b_d,0.012257546,,f1_d,0.031165278,,,,,,,,
pr_s,0.040065221,,pr_s,0.442838813,,pr_s,0.486829903,,pr_s,0.477645592,,cmp_b_d,0.020808625,,pr_s,0.50652027,,pr_s,0.542656506,,pr_s,0.542328601,,f1_c,0.024630976,,f2_s,0.275453831,,f2_s,0.267256251,,f2_s,0.290470259,,lq_d,0.025070865,,lq_s,0.086454883,,lq_s,0.037269595,,lq_s,0.045356318,,prg_a,0.092905046,,f1_a,0.486829903,,f1_s,0.107821212,,prg_c,0.275723693,,f1_c,0.276882216,,prg_a,0.22352031,,f2_a,0.255455074,,f1_c,0.004887992,,cmp_c_s,0.012257546,,f2_d,0.009585413,,cmp_b_s,0.02400852,,,,,,,,
prg_s,0.027302392,,cmp_a_d,0.282852832,,cmp_a_d,0.287262664,,cmp_a_d,0.286415149,,f1_s,0.019046548,,lq_d,0.301947037,,lq_d,0.300015039,,lq_d,0.299990956,,f2_c,0.021139749,,f1_a,0.268014503,,f1_a,0.262701307,,f1_a,0.282483626,,cmp_a_d,0.009707245,,prd_d,0.021348482,,prd_d,0.005521326,,prd_d,0.00804305,,prg_c,0.090960838,,f1_s,0.477645592,,f1_c,0.107711285,,f2_a,0.168488099,,f1_a,0.275033885,,prg_c,0.20998593,,f2_s,0.255274622,,prg_d,0.001940687,,time,0.008915131,,f1_d,0.00776159,,prg_d,0.00866512,,,,,,,,
prg_a,0.025049962,,lq_d,0.276882216,,prg_s,0.282483626,,prg_s,0.279876639,,pr_d,0.015272817,,prg_s,0.279315363,,prg_s,0.290806449,,prg_s,0.290470259,,cmp_c_s,0.009585413,,f2_c,0.265676326,,f1_s,0.259748684,,f1_s,0.279876639,,cmp_c_d,0.00866512,,time,0.001616781,,time,-0.001120877,,time,-0.000956419,,f1_s,0.061788527,,f1_c,0.442838813,,f2_c,0.090228322,,f2_s,0.168275342,,f1_s,0.271556639,,prd_s,0.194689133,,f2_c,0.254828673,,cmp_a_d,-0.003925103,,prg_d,0.006070707,,f1_c,0.00715386,,f2_d,-0.001638007,,,,,,,,
prg_c,0.023547593,,prg_s,0.273677645,,lq_d,0.275033885,,lq_d,0.271556639,,f1_a,0.01494334,,prg_c,0.265676326,,prg_c,0.275848429,,prg_c,0.275453831,,prg_d,0.008096166,,f1_s,0.264545823,,f2_c,0.256597474,,f2_c,0.279315363,,f1_d,0.008652585,,prg_d,-0.006410031,,prg_d,-0.006161885,,prg_d,-0.006033623,,f1_a,0.06125751,,prg_c,0.418214046,,f2_a,0.087131326,,f1_s,0.1593228,,pr_s,0.156219554,,prd_a,0.186076854,,prd_d,0.147798911,,f2_c,-0.007156565,,cmp_b_s,-0.007763849,,f1_a,0.004724683,,cmp_a_s,-0.005886319,,,,,,,,
f2_s,0.022492772,,prg_c,0.262349008,,prg_c,0.268014503,,prg_c,0.264545823,,prg_d,0.008652585,,prg_a,0.256597474,,prg_a,0.267420734,,prg_a,0.267256251,,f1_a,0.007785701,,f1_c,0.262349008,,f1_c,0.254800527,,f1_c,0.273677645,,f2_d,0.008096166,,cmp_c_s,-0.009586115,,cmp_c_s,-0.008144341,,cmp_c_s,-0.008699694,,f2_a,0.060223448,,prg_s,0.398411447,,f2_s,0.08700037,,f1_a,0.158931547,,f2_d,0.149041258,,time,0.056055609,,pr_s,0.145540274,,cmp_b_d,-0.007763849,,cmp_a_s,-0.009663564,,prg_s,0.004345646,,cmp_c_s,-0.022115726,,,,,,,,
f2_a,0.022204561,,prg_a,0.254800527,,prg_a,0.262701307,,prg_a,0.259748684,,cmp_c_s,0.00776159,,cmp_a_d,0.254828673,,cmp_a_d,0.255455074,,cmp_a_d,0.255274622,,f1_s,0.007153091,,cmp_a_s,0.20998593,,cmp_a_s,0.22352031,,cmp_a_s,0.237299905,,cmp_b_d,0.006070707,,f1_d,-0.02760261,,f1_d,-0.02255314,,f1_d,-0.023873552,,f2_s,0.060173947,,prg_a,0.363889743,,cmp_b_s,0.021482963,,f2_c,0.12183023,,prg_s,0.088012881,,f2_a,0.022317608,,prg_s,0.080584684,,f1_s,-0.009528688,,f2_d,-0.02916533,,prg_a,0.003360841,,time,-0.025348815,,,,,,,,
f2_c,0.019499963,,lq_s,0.116751092,,lq_s,0.158931547,,lq_s,0.1593228,,f2_c,0.0043061,,lq_s,0.12183023,,lq_s,0.168488099,,lq_s,0.168275342,,f2_s,0.00699044,,prg_d,0.167744075,,prd_d,0.092905046,,prg_d,0.134711566,,f2_c,0.004626455,,cmp_b_s,-0.067801066,,cmp_b_s,-0.0537028,,cmp_b_s,-0.056017736,,f1_c,0.046722085,,prd_d,0.247597379,,prg_c,0.01881482,,f1_c,0.116751092,,prg_a,0.082108737,,f2_s,0.02197651,,prg_c,0.077732753,,f1_a,-0.010404746,,lq_s,-0.042040439,,f1_s,0.003216699,,lq_s,-0.027440563,,,,,,,,
prd_d,0.017554358,,pr_d,0.107711285,,pr_d,0.10788181,,pr_d,0.107821212,,f2_s,-0.001834582,,pr_d,0.090228322,,pr_d,0.087131326,,pr_d,0.08700037,,f2_a,0.006313127,,prd_d,0.090960838,,prg_d,0.089002402,,prd_d,0.098010616,,f2_a,0.004349736,,f2_d,-0.083893088,,f2_d,-0.069656495,,f2_d,-0.072268294,,f2_c,0.045597286,,lq_d,0.156219554,,pr_s,0.016023756,,prd_c,0.086454883,,prg_c,0.081985771,,f1_s,0.019261139,,prg_a,0.074466255,,f2_a,-0.021619127,,prg_c,-0.065201513,,prg_c,0.003077653,,prg_c,-0.042551897,,,,,,,,
f1_a,0.016535531,,prd_d,0.046722085,,prd_d,0.06125751,,prd_d,0.061788527,,f2_a,-0.001937873,,prd_d,0.045597286,,prd_d,0.060223448,,prd_d,0.060173947,,cmp_c_d,-0.001638007,,lq_d,0.081985771,,lq_d,0.082108737,,lq_d,0.088012881,,f2_s,0.004242516,,pr_d,-0.098606135,,pr_d,-0.095952967,,pr_d,-0.095978903,,lq_d,0.043502383,,cmp_a_d,0.145540274,,f1_d,0.015272817,,time,0.055392651,,f1_d,0.047454665,,f1_a,0.017588467,,lq_s,0.048064603,,f2_s,-0.021833822,,prg_a,-0.066275376,,lq_d,0.001931192,,prg_a,-0.048633493,,,,,,,,
f1_s,0.01516091,,f1_d,0.045833332,,cmp_a_s,0.017588467,,cmp_a_s,0.019261139,,time,-0.002653215,,f2_d,0.021139749,,cmp_a_s,0.022317608,,time,0.022492772,,time,-0.017542787,,cmp_a_d,0.077732753,,cmp_a_d,0.074466255,,cmp_a_d,0.080584684,,f1_c,0.00395118,,prg_a,-0.210931376,,prg_a,-0.226268492,,prg_a,-0.224157984,,prd_c,0.021348482,,time,0.040065221,,cmp_c_s,-0.000237881,,cmp_a_d,0.048064603,,prd_d,0.043502383,,cmp_a_d,0.012528836,,f2_d,0.024700029,,prd_a,-0.0537028,,prg_s,-0.069699908,,cmp_a_d,0.000292652,,prg_s,-0.050445017,,,,,,,,
f1_c,0.014604292,,f2_d,0.024630976,,time,0.016535531,,f1_d,0.019046548,,prg_c,-0.009481488,,time,0.019499963,,time,0.022204561,,cmp_a_s,0.02197651,,cmp_b_d,-0.02916533,,time,0.023547593,,time,0.025049962,,time,0.027302392,,f1_a,0.003232714,,prg_c,-0.225161606,,prg_c,-0.239907786,,prg_c,-0.237665002,,time,0.017554358,,prg_d,0.034802624,,time,-0.004692985,,prd_s,0.045356318,,prg_d,0.025070865,,prg_d,-0.00573471,,cmp_a_s,0.012528836,,prd_s,-0.056017736,,prd_d,-0.124906803,,prg_d,0.000105999,,pr_s,-0.081391078,,,,,,,,
cmp_b_d,0.008915131,,time,0.014604292,,f1_d,0.01494334,,time,0.01516091,,prg_a,-0.014081726,,cmp_c_s,0.016337368,,cmp_c_s,0.01475596,,cmp_c_s,0.015099424,,prg_c,-0.063912842,,pr_d,0.01881482,,cmp_c_s,0.003360841,,cmp_c_s,0.004345646,,f1_s,0.002394854,,prg_s,-0.230100491,,prg_s,-0.246379679,,prg_s,-0.244107729,,prd_s,0.00804305,,pr_d,0.016023756,,lq_s,-0.058480029,,prd_a,0.037269595,,cmp_b_s,0.011534954,,cmp_c_d,-0.005886319,,prg_d,0.009707245,,prd_c,-0.067801066,,pr_s,-0.127666338,,pr_d,-0.000237881,,prd_d,-0.096686335,,,,,,,,
cmp_a_d,0.004144536,,cmp_c_s,0.00715386,,f2_d,0.007785701,,f2_d,0.007153091,,prg_s,-0.015282178,,prg_d,0.004626455,,f2_d,0.006313127,,f2_d,0.00699044,,prg_a,-0.064231197,,cmp_c_s,0.003077653,,f1_d,-0.014081726,,f1_d,-0.015282178,,cmp_b_s,0.001940687,,cmp_a_d,-0.243818731,,cmp_a_d,-0.247067971,,cmp_a_d,-0.246286474,,prd_a,0.005521326,,cmp_c_s,-0.024410348,,cmp_a_s,-0.064264151,,lq_d,0.008506325,,lq_s,0.008506325,,cmp_b_d,-0.009663564,,time,0.004144536,,prg_c,-0.072070415,,f2_c,-0.224184484,,prd_a,-0.008144341,,pr_d,-0.126558688,,,,,,,,
prd_c,0.001616781,,cmp_b_s,0.004887992,,cmp_c_s,0.004724683,,cmp_c_s,0.003216699,,prd_a,-0.02255314,,f1_d,0.0043061,,prg_d,0.004349736,,prg_d,0.004242516,,prg_s,-0.069642798,,f1_d,-0.009481488,,cmp_c_d,-0.048633493,,cmp_c_d,-0.050445017,,cmp_c_s,0.000105999,,lq_d,-0.315767712,,lq_d,-0.31716028,,lq_d,-0.316987227,,cmp_c_s,-0.00951853,,cmp_c_d,-0.081391078,,prd_a,-0.095952967,,prg_d,-0.004939273,,cmp_c_s,0.001931192,,f2_c,-0.026011962,,cmp_c_s,0.000292652,,prg_a,-0.076953494,,f2_s,-0.224538138,,prd_s,-0.008699694,,f2_c,-0.143235266,,,,,,,,
lq_d,0.001292203,,prg_d,0.00395118,,prg_d,0.003232714,,prg_d,0.002394854,,prd_s,-0.023873552,,cmp_b_s,-0.007156565,,f1_d,-0.001937873,,f1_d,-0.001834582,,prd_a,-0.069656495,,cmp_c_d,-0.042551897,,f2_d,-0.064231197,,f2_d,-0.069642798,,time,-0.000502086,,pr_s,-0.400154984,,pr_s,-0.439681677,,pr_s,-0.431649872,,prg_d,-0.015996494,,f1_d,-0.107570855,,prd_s,-0.095978903,,cmp_c_d,-0.027440563,,time,0.001292203,,cmp_c_s,-0.032615866,,cmp_b_s,-0.003925103,,prg_s,-0.082396849,,f2_a,-0.224670239,,prd_d,-0.00951853,,f2_s,-0.143406922,,,,,,,,
prg_d,-0.000502086,,cmp_a_s,-0.035541143,,cmp_b_s,-0.010404746,,cmp_b_s,-0.009528688,,prd_c,-0.02760261,,cmp_a_s,-0.026011962,,cmp_b_s,-0.021619127,,cmp_b_s,-0.021833822,,prd_s,-0.072268294,,f2_d,-0.063912842,,cmp_b_d,-0.066275376,,cmp_b_d,-0.069699908,,lq_s,-0.004939273,,f1_s,-0.835132816,,f1_s,-0.846057246,,f1_s,-0.843623805,,cmp_b_s,-0.090998276,,cmp_b_d,-0.127666338,,prd_c,-0.098606135,,cmp_c_s,-0.029920495,,cmp_a_s,-0.040528673,,f1_c,-0.035541143,,f1_d,-0.036871395,,prd_d,-0.090998276,,f1_c,-0.250504926,,prd_c,-0.009586115,,f2_a,-0.143530901,,,,,,,,
prd_s,-0.000956419,,cmp_c_d,-0.157247365,,cmp_c_d,-0.159226145,,cmp_c_d,-0.159029982,,cmp_a_d,-0.036871395,,cmp_c_d,-0.143235266,,cmp_c_d,-0.143530901,,cmp_c_d,-0.143406922,,prd_c,-0.083893088,,cmp_b_d,-0.065201513,,cmp_b_s,-0.076953494,,cmp_b_s,-0.082396849,,cmp_a_s,-0.00573471,,f1_a,-0.846273591,,f1_a,-0.857153026,,f1_a,-0.854727075,,cmp_c_d,-0.096686335,,f2_d,-0.22256646,,cmp_c_d,-0.126558688,,cmp_b_d,-0.042040439,,prd_c,-0.315767712,,lq_d,-0.040528673,,prd_c,-0.243818731,,pr_s,-0.223336202,,f1_s,-0.254249779,,cmp_c_d,-0.022115726,,f1_c,-0.157247365,,,,,,,,
prd_a,-0.001120877,,cmp_b_d,-0.250504926,,cmp_b_d,-0.254938994,,cmp_b_d,-0.254249779,,lq_s,-0.100663264,,cmp_b_d,-0.224184484,,cmp_b_d,-0.224670239,,cmp_b_d,-0.224538138,,pr_s,-0.22256646,,cmp_b_s,-0.072070415,,pr_d,-0.157021718,,pr_d,-0.134325523,,prd_s,-0.006033623,,f1_c,-0.856699428,,f1_c,-0.865465012,,f1_c,-0.863580522,,cmp_b_d,-0.124906803,,cmp_b_s,-0.223336202,,prg_s,-0.134325523,,pr_d,-0.058480029,,prd_s,-0.316987227,,pr_d,-0.064264151,,prd_s,-0.246286474,,lq_s,-0.290559917,,f1_a,-0.254938994,,pr_s,-0.024410348,,f1_s,-0.159029982,,,,,,,,
f1_d,-0.002653215,,prd_c,-0.856699428,,prd_c,-0.846273591,,prd_c,-0.835132816,,pr_s,-0.107570855,,prd_c,-0.933623018,,prd_c,-0.92245067,,prd_c,-0.9223987,,lq_s,-0.294680986,,prd_c,-0.225161606,,prd_c,-0.210931376,,prd_c,-0.230100491,,prd_a,-0.006161885,,f2_s,-0.9223987,,f2_s,-0.933611091,,f2_s,-0.931848385,,pr_d,-0.150804829,,prd_c,-0.400154984,,prd_d,-0.150804829,,f1_d,-0.100663264,,prd_a,-0.31716028,,f1_d,-0.129230152,,prd_a,-0.247067971,,cmp_a_s,-0.29934783,,pr_d,-0.277926241,,lq_s,-0.029920495,,f1_a,-0.159226145,,,,,,,,
pr_d,-0.004692985,,prd_s,-0.863580522,,prd_s,-0.854727075,,prd_s,-0.843623805,,cmp_a_s,-0.129230152,,prd_s,-0.941229786,,prd_s,-0.931904398,,prd_s,-0.931848385,,cmp_a_s,-0.306868129,,prd_s,-0.237665002,,prd_s,-0.224157984,,prd_s,-0.244107729,,prd_c,-0.006410031,,f2_a,-0.92245067,,f2_a,-0.933673615,,f2_a,-0.931904398,,f1_d,-0.270859319,,prd_s,-0.431649872,,prg_a,-0.157021718,,cmp_b_s,-0.290559917,,cmp_c_d,-0.381310771,,cmp_b_s,-0.29934783,,cmp_c_d,-0.433136618,,cmp_c_s,-0.943823582,,lq_d,-0.639807658,,cmp_a_s,-0.032615866,,lq_d,-0.381310771,,,,,,,,
f2_d,-0.017542787,,prd_a,-0.865465012,,prd_a,-0.857153026,,prd_a,-0.846057246,,prd_d,-0.270859319,,prd_a,-0.942582691,,prd_a,-0.933673615,,prd_a,-0.933611091,,prd_d,-0.853076443,,prd_a,-0.239907786,,prd_a,-0.226268492,,prd_a,-0.246379679,,prd_d,-0.015996494,,f2_c,-0.933623018,,f2_c,-0.942582691,,f2_c,-0.941229786,,f2_d,-0.853076443,,prd_a,-0.439681677,,cmp_b_d,-0.277926241,,f2_d,-0.294680986,,cmp_b_d,-0.639807658,,f2_d,-0.306868129,,cmp_b_d,-0.743133705,,time,-0.96652277,,cmp_a_d,-0.743133705,,cmp_b_s,-0.943823582,,cmp_a_d,-0.433136618,,,,,,,,
cmp_c_d,-0.025348815,,f1_c,,,f1_a,,,f1_s,,,f1_d,,,f2_c,,,f2_a,,,f2_s,,,f2_d,,,prg_c,,,prg_a,,,prg_s,,,prg_d,,,prd_c,,,prd_a,,,prd_s,,,prd_d,,,pr_s,,,pr_d,,,lq_s,,,lq_d,,,cmp_a_s,,,cmp_a_d,,,cmp_b_s,,,cmp_b_d,,,cmp_c_s,,,cmp_c_d,,,,,,,,,
cmp_b_s,-0.96652277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
